scenario,method,seed,collision,min_clearance,progress
Oncoming-default,Base,4278981144,1,0.341002,0.9611
Oncoming-default,Base,4278981145,1,0.804981,0.9611
Oncoming-default,Base,4278981146,1,0.557914,0.9611
Oncoming-default,Base,4278981147,1,0.224138,0.9611
Oncoming-default,Base,4278981148,1,0.310069,0.9611
Oncoming-default,Base,4278981149,1,0.515408,0.9611
Oncoming-default,Base,4278981150,1,0.480587,0.9611
Oncoming-default,Base,4278981151,1,0.400122,0.9611
Oncoming-default,Base,4278981152,1,0.482607,0.9611
Oncoming-default,Base,4278981153,1,0.526063,0.9611
Oncoming-default,Base,4278981154,1,0.619297,0.9611
Oncoming-default,Base,4278981155,1,0.348328,0.9611
Oncoming-default,Base,4278981156,1,0.471227,0.9611
Oncoming-default,Base,4278981157,1,0.632878,0.9611
Oncoming-default,Base,4278981158,1,0.522656,0.9611
Oncoming-default,Base,4278981159,1,0.603221,0.9611
Oncoming-default,Base,4278981160,1,0.548699,0.9611
Oncoming-default,Base,4278981161,1,0.768234,0.9611
Oncoming-default,Base,4278981162,1,0.439425,0.9611
Oncoming-default,Base,4278981163,1,0.440489,0.9611
Oncoming-default,Base,4278981164,1,0.401689,0.9611
Oncoming-default,Base,4278981165,1,0.318749,0.9611
Oncoming-default,Base,4278981166,1,0.343319,0.9611
Oncoming-default,Base,4278981167,0,1.267189,0.9611
Oncoming-default,Base,4278981168,1,0.426623,0.9611
Oncoming-default,Base,4278981169,1,0.461673,0.9611
Oncoming-default,Base,4278981170,1,0.457895,0.9611
Oncoming-default,Base,4278981171,1,0.463533,0.9611
Oncoming-default,Base,4278981172,1,0.630835,0.9611
Oncoming-default,Base,4278981173,1,0.780494,0.9611
Oncoming-default,Base,4278981174,1,0.408298,0.9611
Oncoming-default,Base,4278981175,1,0.774213,0.9611
Oncoming-default,Base,4278981176,1,0.821003,0.9611
Oncoming-default,Base,4278981177,1,0.504556,0.9611
Oncoming-default,Base,4278981178,1,0.345900,0.9611
Oncoming-default,Base,4278981179,1,0.543475,0.9611
Oncoming-default,Base,4278981180,1,0.443498,0.9611
Oncoming-default,Base,4278981181,1,0.452614,0.9611
Oncoming-default,Base,4278981182,1,0.542422,0.9611
Oncoming-default,Base,4278981183,1,0.440639,0.9611
Oncoming-default,Base,4278981184,1,0.385983,0.9611
