step,attempt,obstacle_id,source_mode,target_mode,cost,radius_observation_count
40,0,0,turn_left,turn_left,0,41
40,0,0,turn_left,turn_right,0.025678114876867879,41
40,0,0,turn_right,constant_velocity,0.01287026910765874,41
40,0,0,turn_right,turn_left,0.025678114876867879,41
40,0,0,turn_right,turn_right,0,41
41,0,0,constant_velocity,constant_velocity,0,42
41,0,0,constant_velocity,turn_left,0.012870269107658814,42
41,0,0,constant_velocity,turn_right,0.01287026910765874,42
41,0,0,turn_left,constant_velocity,0.012870269107658814,42
41,0,0,turn_left,turn_left,0,42
41,0,0,turn_left,turn_right,0.025678114876867879,42
41,0,0,turn_right,constant_velocity,0.01287026910765874,42
41,0,0,turn_right,turn_left,0.025678114876867879,42
41,0,0,turn_right,turn_right,0,42
42,0,0,constant_velocity,constant_velocity,0,43
42,0,0,constant_velocity,turn_left,0.01287026910765883,43
42,0,0,constant_velocity,turn_right,0.012870269107658807,43
42,0,0,turn_left,constant_velocity,0.01287026910765883,43
42,0,0,turn_left,turn_left,0,43
42,0,0,turn_left,turn_right,0.025678114876867823,43
42,0,0,turn_right,constant_velocity,0.012870269107658807,43
42,0,0,turn_right,turn_left,0.025678114876867823,43
42,0,0,turn_right,turn_right,0,43
43,0,0,constant_velocity,constant_velocity,0,44
43,0,0,constant_velocity,turn_left,0.012870269107658674,44
43,0,0,constant_velocity,turn_right,0.0128702691076587,44
43,0,0,turn_left,constant_velocity,0.012870269107658674,44
43,0,0,turn_left,turn_left,0,44
43,0,0,turn_left,turn_right,0.025678114876867768,44
43,0,0,turn_right,constant_velocity,0.0128702691076587,44
43,0,0,turn_right,turn_left,0.025678114876867768,44
43,0,0,turn_right,turn_right,0,44
44,0,0,constant_velocity,constant_velocity,0,45
44,0,0,constant_velocity,turn_left,0.012870269107658674,45
44,0,0,constant_velocity,turn_right,0.0128702691076587,45
44,0,0,turn_left,constant_velocity,0.012870269107658674,45
44,0,0,turn_left,turn_left,0,45
44,0,0,turn_left,turn_right,0.025678114876867768,45
44,0,0,turn_right,constant_velocity,0.0128702691076587,45
44,0,0,turn_right,turn_left,0.025678114876867768,45
44,0,0,turn_right,turn_right,0,45
45,0,0,constant_velocity,constant_velocity,0,46
45,0,0,constant_velocity,turn_left,0.012870269107659251,46
45,0,0,constant_velocity,turn_right,0.012870269107658608,46
45,0,0,turn_left,constant_velocity,0.012870269107659251,46
45,0,0,turn_left,turn_left,0,46
45,0,0,turn_left,turn_right,0.025678114876868038,46
45,0,0,turn_right,constant_velocity,0.012870269107658608,46
45,0,0,turn_right,turn_left,0.025678114876868038,46
45,0,0,turn_right,turn_right,0,46
46,0,0,constant_velocity,constant_velocity,0,47
